year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Spring,Summer,Autumn,Annual,Winter
1871,73.4,62,69.5,15.3,89.2,46.5,6.4,0,118.7,47.4,138.8,79.2,174,52.9,304.9,746.4,
1872,151.7,174.1,82.7,47.2,22.6,0,1.2,0,10.8,78.8,31.6,97.1,152.5,1.2,121.2,697.8,405
1873,86.7,59.2,109.6,62,66.1,37.2,11.2,1.6,0,38.1,64.5,30,237.7,50,102.6,566.2,243
1874,19.6,59.4,14.6,52.6,52.7,4.2,0.2,0,25.8,50.1,12.7,54.1,119.9,4.4,88.6,346,109
1875,41.4,89,63,29.8,30.3,25.3,23.8,0,13.7,41.1,25.7,34.8,123.1,49.1,80.5,417.9,184.5
1876,13.5,43.5,53.5,13.9,52.9,13.1,15,0,5.5,164.4,165.3,404.6,120.3,28.1,335.2,945.2,91.8
1877,147.9,2.2,44.9,125.4,83.6,21.7,54.8,4.8,90.5,11.4,62,31.1,253.9,81.3,163.9,680.3,554.7
1878,18.2,34.9,52.6,90.8,51.3,3.3,0,15.7,10.6,97.1,106.6,137.2,194.7,19,214.3,618.3,84.2
1879,94.5,79,39.1,97.7,1,20.2,0,0.2,55.9,48.2,93.3,73.3,137.8,20.4,197.4,602.4,310.7
1880,2.2,61.1,29.5,65.4,70.4,11.6,0,3,2,98.9,70.2,56.9,165.3,14.6,171.1,471.2,136.6
1881,259.5,114.1,161.9,145.2,18.2,10.7,10.5,0,19.8,75.8,46.2,25.1,325.3,21.2,141.8,887,430.5
1882,27.2,71.3,24.6,60.7,122.3,2.8,22.6,0,14.8,51.1,8.9,99.4,207.6,25.4,74.8,505.7,123.6
1883,123.5,57.4,172.1,54.9,145.3,40.1,0,0,1.4,46.9,13.9,24,372.3,40.1,62.2,679.5,280.3
1884,95,118.1,101.8,195.8,34.5,4.9,8.5,0.6,46.8,14.6,18.1,27.3,332.1,14,79.5,666,237.1
1885,155.8,139.5,39,83,5.8,81.3,0,40.4,1.3,38.8,133.4,63.4,127.8,121.7,173.5,781.7,322.6
