year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Spring,Summer,Autumn,Annual,Winter
1865,104.6,95.8,45,113.4,37.2,0,2.3,4.2,31.3,50.5,128.4,99.7,195.6,6.5,210.2,712.4,
1866,83.6,127.9,161.7,47.6,46.4,20.7,1.2,0,2.3,59.4,216.4,71.4,255.7,21.9,278.1,838.6,311.2
1867,216.1,10.5,158.7,0,22.2,28.9,0,0,13.4,44.1,358.4,354.4,180.9,28.9,415.9,1206.7,298
1868,61.2,3.1,2.1,47.5,2.4,0,0.1,7.8,82.8,28.3,52.9,43.8,52,7.9,164,332,418.7
1869,74.7,23.3,46.5,0,23,47.7,0,0.7,0.2,82.9,79,26.8,69.5,48.4,162.1,404.8,141.8
1870,110.1,176.8,91.3,48.7,9.9,0,1.8,2.4,2.3,5.8,205.4,189.6,149.9,4.2,213.5,844.1,313.7
1871,89,224.3,100.5,27.5,54.4,8.8,0.3,0,29.6,20.1,67.6,90.2,182.4,9.1,117.3,712.3,502.9
1872,35.4,70.1,92.5,124.8,18,0.3,1.6,0,57.9,40.2,38.5,129.5,235.3,1.9,136.6,608.8,195.7
1873,130.9,54.7,73.2,99.3,7.5,17.7,0,0,0.7,46.4,140.3,99.4,180,17.7,187.4,670.1,315.1
1874,154.6,38.2,15.9,15.3,8.7,32.4,0,0.2,10.3,34.3,106.6,101.8,39.9,32.6,151.2,518.3,292.2
1875,62.6,61.1,44.2,23.3,2.8,0.2,0,0,21.3,72.2,6.9,155.8,70.3,0.2,100.4,450.4,225.5
1876,136.8,56.4,6.1,36.2,44.8,7.9,1.8,4.3,8,254,290.8,181.9,87.1,14,552.8,1029,349
1877,65.3,12.6,34,59.5,28.2,55.9,5.5,1.1,63.7,51.9,1.8,20.5,121.7,62.5,117.4,400,259.8
1878,63.3,68.2,5.6,44.7,10.4,1.3,5.3,4,0,35.5,187.1,377.8,60.7,10.6,222.6,803.2,152
1879,60.4,11.4,76.2,9.7,0,9,0,0,194.2,86.1,308.5,168.2,85.9,9,588.8,923.7,449.6
1880,61.8,21.7,80.6,27.3,54.5,0,5.5,14.1,0,118.8,17.6,15.2,162.4,19.6,136.4,417.1,251.7
1881,235.1,34.1,116.9,77.8,20.2,38.4,0,1.1,2.5,13.2,64.4,12.1,214.9,39.5,80.1,615.8,284.4
1882,127.6,44.7,75.8,15.3,31.1,24.6,0,0,1,22.4,9.2,31.8,122.2,24.6,32.6,383.5,184.4
1883,33.2,73.2,154.2,30.5,92.6,17.9,0,0,0.8,49.6,213.1,136.8,277.3,17.9,263.5,801.9,138.2
1884,125.5,96.2,86.6,128.7,0,3,1,15.3,4.6,91.6,321.9,13.4,215.3,19.3,418.1,887.8,358.5
1885,195.3,156.5,83.7,11,2.4,0,0.5,0,21.3,17.2,170.3,118.9,97.1,0.5,208.8,777.1,365.2
1886,82.9,74.5,18.2,153.3,2,5.4,0,0,9.6,17.9,105.2,89.7,173.5,5.4,132.7,558.7,276.3
1887,180.9,76,135.5,52.4,13.6,0,0,2.2,5.6,126.7,79.2,246.3,201.5,2.2,211.5,918.4,346.6
1888,124,306,76.9,75.3,18.2,0.8,0,0,59,33.8,51.7,62.2,170.4,0.8,144.5,807.9,676.3
1889,12,28.8,51.8,17.5,44.8,6.1,3,0.2,37.8,21.2,13.9,34.6,114.1,9.3,72.9,271.7,103
1890,3.6,38.2,94.1,3.4,70.8,0,0,0,0,50.8,18.8,95.6,168.3,0,69.6,375.3,76.4
1891,134.8,90.5,135.8,5.6,37.2,6.7,36.3,0.4,41,23,196,38.8,178.6,43.4,260,746.1,320.9
1892,154.1,120,324,39,18.1,0.9,0,0,16.1,52.5,88.1,143.1,381.1,0.9,156.7,955.9,312.9
1893,113.2,21.6,282.4,96.4,101.8,5,0,0,62.2,24.6,206,76.6,480.6,5,292.8,989.8,277.9
1894,52.3,41.9,139,38.6,29.4,29.9,0,2.2,34.4,116.2,139.7,34.1,207,32.1,290.3,657.7,170.8
1895,117.4,236.7,89.7,109.1,7,4.6,0,0,156.6,483.4,158.6,55.6,205.8,4.6,798.6,1418.7,388.2
1896,81,64.9,40.9,11,0,37.3,0,0,2.7,248.7,181.3,58.1,51.9,37.3,432.7,725.9,201.5
1897,127.5,0,0,37.8,63,0.2,0,0,0,274.9,104.1,80.1,100.8,0.2,379,687.6,185.6
1898,80.1,0.2,84.4,8.1,9.9,3.2,0,3,34.8,25.9,46.3,185,102.4,6.2,107,480.9,160.4
1899,51.4,162.8,82.7,2.2,11.2,4.4,2.2,2,16.3,169.4,29.2,158.6,96.1,8.6,214.9,692.4,399.2
1900,30.2,109.8,94,65.7,5.2,0,17.9,0.2,91.2,49,1.6,0,164.9,18.1,141.8,464.8,298.6
1901,157.2,224.2,79,59.4,30.3,2.2,2.5,0,0.4,14.6,479.3,88.9,168.7,4.7,494.3,1138,381.4
1902,56.8,232.1,33,95.2,6.9,14.4,8.6,31,5.8,24.7,120.7,100,135.1,54,151.2,729.2,377.8
1903,145.2,43,29.5,0.5,32.6,21.1,0,0,27.9,44.3,76.4,77.5,62.6,21.1,148.6,498,288.2
1904,27.3,65.5,100.1,4.3,4.2,0,8.4,3,12.1,156.1,232.6,118.6,108.6,11.4,400.8,732.2,170.3
1905,13.3,9.6,2.5,19.5,9.3,62.6,0,0,31.5,389,57.2,140.1,31.3,62.6,477.7,734.6,141.5
1906,38.1,10.4,148.3,48.4,29.4,1.2,0.9,0,31.7,103.7,47.8,28.9,226.1,2.1,183.2,488.8,188.6
1907,52.5,67.2,9.5,15.9,26.8,0,2,26.9,18.7,40,63.6,74.1,52.2,28.9,122.3,397.2,148.6
1908,172.4,21.8,2.2,44.5,14.5,38.4,4.3,0,30.8,97.8,135.1,19.5,61.2,42.7,263.7,581.3,268.3
