date,tmax,tmin,tmed
01/1871,10.1,2.9,6.5
02/1871,15.5,8.4,11.95
03/1871,16.6,9.1,12.85
04/1871,22.3,12.3,17.3
05/1871,21.2,13.3,17.25
06/1871,23.7,13.7,18.7
07/1871,31.1,16.9,24
08/1871,31.6,17.6,24.6
09/1871,23.4,15,19.2
10/1871,22.6,13.8,18.2
11/1871,15.5,9.7,12.6
12/1871,10.9,4.8,7.85
01/1872,12.4,7.7,10.05
02/1872,13.8,7.8,10.8
03/1872,16.6,8.8,12.7
04/1872,18.6,9.4,14
05/1872,20.5,11,15.75
06/1872,28.8,14.9,21.85
07/1872,29.8,16.1,22.95
08/1872,31.8,17.9,24.85
09/1872,27,15.8,21.4
10/1872,18.6,10.6,14.6
11/1872,16.2,9.3,12.75
12/1872,11.9,6.4,9.15
01/1873,13.2,7.5,10.35
02/1873,12.5,5.4,8.95
03/1873,14,8.2,11.1
04/1873,17.9,9.4,13.65
05/1873,24.2,14.1,19.15
06/1873,24.8,15,19.9
07/1873,31.1,15.8,23.45
08/1873,31.1,17.9,24.5
09/1873,28.8,15.9,22.35
10/1873,21.2,11.8,16.5
11/1873,18.4,9.5,13.95
12/1873,16.6,6.1,11.35
01/1874,16.8,7.4,12.1
02/1874,15.9,7.6,11.75
03/1874,19.6,8.4,14
04/1874,20.8,10.7,15.75
05/1874,23,12,17.5
06/1874,25.3,13.8,19.55
07/1874,33.1,16.1,24.6
08/1874,33.3,17.1,25.2
09/1874,28.3,15.9,22.1
10/1874,22.7,13.2,17.95
11/1874,19.7,10.3,15
12/1874,13.7,5.3,9.5
01/1875,14.9,7.8,11.35
02/1875,15,5.8,10.4
03/1875,17.2,8.3,12.75
04/1875,19.8,10.1,14.95
05/1875,25.5,13.7,19.6
06/1875,28,14.4,21.2
07/1875,28.7,15.4,22.05
08/1875,32.1,16.7,24.4
09/1875,30.2,16.1,23.15
10/1875,23.6,12.8,18.2
11/1875,20.2,10.3,15.25
12/1875,13.7,4,8.85
01/1876,13,3.9,8.45
02/1876,15.9,6.9,11.4
03/1876,16.5,7.3,11.9
04/1876,19.6,8.8,14.2
05/1876,21.4,11.1,16.25
06/1876,24.9,12.5,18.7
07/1876,36.1,19.6,27.85
08/1876,33.2,16.9,25.05
09/1876,29,15.5,22.25
10/1876,21.8,13.1,17.45
11/1876,18.8,11.2,15
12/1876,14.1,7.7,10.9
01/1877,15.3,8.2,11.75
02/1877,15.6,6.6,11.1
03/1877,16,8.1,12.05
04/1877,18.4,11,14.7
05/1877,22.4,13,17.7
06/1877,25.9,15.3,20.6
07/1877,30.2,17.9,24.05
08/1877,30.9,17.6,24.25
09/1877,26,16.1,21.05
10/1877,22.7,13.3,18
11/1877,19.5,9.8,14.65
12/1877,14.6,6.8,10.7
01/1878,14.4,5.5,9.95
02/1878,16.1,7.4,11.75
03/1878,18.4,8.8,13.6
04/1878,19.1,11.3,15.2
05/1878,22.3,12.2,17.25
06/1878,27.1,13.9,20.5
07/1878,31.4,17.1,24.25
08/1878,28.1,16.5,22.3
09/1878,29.6,16.4,23
10/1878,21.8,13.2,17.5
11/1878,14.2,6.9,10.55
12/1878,12.6,6.2,9.4
01/1879,13.1,7.1,10.1
02/1879,13.2,7.2,10.2
03/1879,15.6,7.3,11.45
04/1879,15.5,7.9,11.7
05/1879,21.8,10.3,16.05
06/1879,24.8,12.9,18.85
07/1879,30.4,14.5,22.45
08/1879,30.8,15.6,23.2
09/1879,24.3,14.2,19.25
10/1879,22.6,12.7,17.65
11/1879,19.5,11.8,15.65
12/1879,12.2,4.4,8.3
01/1880,13.2,4.6,8.9
02/1880,14.7,7,10.85
03/1880,18.4,9.4,13.9
04/1880,17.2,7.6,12.4
05/1880,20.2,10.9,15.55
06/1880,23.6,11.7,17.65
07/1880,28.7,13.8,21.25
08/1880,28.7,15.7,22.2
09/1880,29.3,15.5,22.4
10/1880,22.2,13.5,17.85
11/1880,16.4,6.8,11.6
12/1880,14.9,6.9,10.9
01/1881,13.7,7.3,10.5
02/1881,15.1,8.1,11.6
03/1881,18,10.6,14.3
04/1881,18.7,9.8,14.25
05/1881,23.4,12.8,18.1
06/1881,28.9,14.1,21.5
07/1881,32.1,17.1,24.6
08/1881,34.5,20.5,27.5
09/1881,27.7,15.7,21.7
10/1881,21.9,11,16.45
11/1881,19.7,10,14.85
12/1881,12.6,5.4,9
01/1882,14.5,5.4,9.95
02/1882,16.4,7.4,11.9
03/1882,19.3,8.4,13.85
04/1882,19.9,9.4,14.65
05/1882,21,10.8,15.9
06/1882,26.3,12.9,19.6
07/1882,29.4,15,22.2
08/1882,31.6,16.4,24
09/1882,23.9,12.8,18.35
10/1882,21.6,11.6,16.6
11/1882,17.4,8.9,13.15
12/1882,12.6,5.2,8.9
01/1883,13.4,6.3,9.85
02/1883,15.5,6.5,11
03/1883,14,5.4,9.7
04/1883,17.7,8.6,13.15
05/1883,19.6,9.9,14.75
06/1883,23.5,12,17.75
07/1883,28.3,14.2,21.25
08/1883,32.9,17.4,25.15
09/1883,26.3,13.9,20.1
10/1883,20.6,11.4,16
11/1883,18.2,9,13.6
05/1884,22.6,13.8,18.2
06/1884,26.3,15.3,20.8
07/1884,30,17.9,23.95
08/1884,31.7,18.2,24.95
09/1884,25.4,14.9,20.15
10/1884,21.9,11.4,16.65
11/1884,17.5,8.1,12.8
12/1884,13.4,5.5,9.45
01/1885,10.7,4.4,7.55
02/1885,16,9,12.5
03/1885,14.8,7.2,11
04/1885,15.1,7.1,11.1
05/1885,22.7,11.3,17
06/1885,25.5,14.6,20.05
07/1885,29.1,15.1,22.1
08/1885,29,15.8,22.4
09/1885,27.1,15.1,21.1
10/1885,19.6,10.1,14.85
11/1885,17.7,9.3,13.5
12/1885,13.4,6.1,9.75
01/1886,11.7,4.4,8.05
02/1886,13.8,5.9,9.85
03/1886,17.2,10,13.6
04/1886,18.3,9.6,13.95
05/1886,21.6,11.3,16.45
06/1886,25.7,14,19.85
07/1886,30.8,16.7,23.75
08/1886,31.8,16.9,24.35
09/1886,27.3,15.5,21.4
10/1886,20.5,11.4,15.95
11/1886,16.5,7.9,12.2
12/1886,13.7,6.7,10.2
01/1888,13.8,5.4,9.6
02/1888,10.8,2.9,6.85
03/1888,13.2,6.6,9.9
04/1888,15.4,8.2,11.8
05/1888,22.9,12.6,17.75
06/1888,22.9,12.7,17.8
07/1888,27.2,14.6,20.9
08/1888,30.3,16.3,23.3
09/1888,26.9,15.9,21.4
10/1888,21.7,13.1,17.4
11/1888,16.5,9.1,12.8
12/1888,13.2,7,10.1
01/1889,11.9,4.2,8.05
02/1889,13.7,5.5,9.6
03/1889,14.2,5.8,10
04/1889,15,7.1,11.05
05/1889,19.4,10,14.7
06/1889,22.6,12.4,17.5
08/1889,29.6,15.2,22.4
09/1889,28.6,16.1,22.35
10/1889,18.4,10.6,14.5
11/1889,16.6,9.5,13.05
12/1889,12.6,9.5,11.05
01/1890,14.4,6.2,10.3
