date,tmax,tmin,tmed
01/1865,19.3,13.9,16.6
02/1865,20.3,13.4,16.85
03/1865,18,13.2,15.6
04/1865,18.7,14.8,16.75
05/1865,19.4,15.6,17.5
06/1865,22,18.2,20.1
07/1865,23.9,20.3,22.1
08/1865,24.1,20.4,22.25
09/1865,24.6,20.4,22.5
10/1865,23.3,19.1,21.2
11/1865,21.1,15.5,18.3
12/1865,18.9,14.8,16.85
01/1866,18,13.7,15.85
02/1866,17.7,13.5,15.6
03/1866,16.7,12.1,14.4
04/1866,18.4,14.4,16.4
05/1866,19.8,16.1,17.95
06/1866,21.8,19.3,20.55
07/1866,23.1,19.4,21.25
08/1866,25.2,21.1,23.15
09/1866,24.9,20.8,22.85
10/1866,23.6,19.1,21.35
11/1866,21.2,16.4,18.8
12/1866,19.2,13.7,16.45
01/1867,19.1,14.9,17
02/1867,20,14.7,17.35
03/1867,19.6,15.2,17.4
04/1867,20.4,15.4,17.9
05/1867,20.6,16.2,18.4
06/1867,22,18.1,20.05
07/1867,23.7,19.8,21.75
08/1867,24.5,20.1,22.3
09/1867,24.3,19.2,21.75
10/1867,23,17.6,20.3
11/1867,20.5,16.2,18.35
12/1867,18.5,13.7,16.1
01/1868,18.5,13.3,15.9
02/1868,18.5,13.4,15.95
03/1868,19.8,14.2,17
04/1868,19.3,14.4,16.85
05/1868,21.2,16.7,18.95
06/1868,22.6,18.3,20.45
07/1868,24.4,19.4,21.9
08/1868,25.4,20.4,22.9
09/1868,24.9,19.6,22.25
10/1868,23.2,16.9,20.05
11/1868,20.7,15.9,18.3
12/1868,20.4,15.7,18.05
01/1869,18.8,13.7,16.25
02/1869,18.4,12.8,15.6
03/1869,18.6,13.3,15.95
04/1869,19.6,14.9,17.25
05/1869,21.2,16.2,18.7
06/1869,22.1,17.4,19.75
07/1869,24.1,19.9,22
08/1869,24.7,19.6,22.15
09/1869,24.8,19.9,22.35
10/1869,22.8,17.7,20.25
11/1869,20.5,15.1,17.8
12/1869,18.6,13.4,16
01/1870,18.2,13.3,15.75
02/1870,17.7,13,15.35
03/1870,18,12.9,15.45
04/1870,19,14.2,16.6
05/1870,20.3,15.5,17.9
06/1870,22.7,18,20.35
