date,tmax,tmin,tmed,year,precip,month
1871-01-01,10.1,2.9,6.5,1871,73.4,1
1871-02-01,15.5,8.4,11.95,1871,62.0,2
1871-03-01,16.6,9.1,12.85,1871,69.5,3
1871-04-01,22.3,12.3,17.3,1871,15.3,4
1871-05-01,21.2,13.3,17.25,1871,89.2,5
1871-06-01,23.7,13.7,18.7,1871,46.5,6
1871-07-01,31.1,16.9,24.0,1871,6.4,7
1871-08-01,31.6,17.6,24.6,1871,0.0,8
1871-09-01,23.4,15.0,19.2,1871,118.7,9
1871-10-01,22.6,13.8,18.2,1871,47.4,10
1871-11-01,15.5,9.7,12.6,1871,138.8,11
1871-12-01,10.9,4.8,7.85,1871,79.2,12
1872-01-01,12.4,7.7,10.05,1872,151.7,1
1872-02-01,13.8,7.8,10.8,1872,174.1,2
1872-03-01,16.6,8.8,12.7,1872,82.7,3
1872-04-01,18.6,9.4,14.0,1872,47.2,4
1872-05-01,20.5,11.0,15.75,1872,22.6,5
1872-06-01,28.8,14.9,21.85,1872,0.0,6
1872-07-01,29.8,16.1,22.95,1872,1.2,7
1872-08-01,31.8,17.9,24.85,1872,0.0,8
1872-09-01,27.0,15.8,21.4,1872,10.8,9
1872-10-01,18.6,10.6,14.6,1872,78.8,10
1872-11-01,16.2,9.3,12.75,1872,31.6,11
1872-12-01,11.9,6.4,9.15,1872,97.1,12
1873-01-01,13.2,7.5,10.35,1873,86.7,1
1873-02-01,12.5,5.4,8.95,1873,59.2,2
1873-03-01,14.0,8.2,11.1,1873,109.6,3
1873-04-01,17.9,9.4,13.65,1873,62.0,4
1873-05-01,24.2,14.1,19.15,1873,66.1,5
1873-06-01,24.8,15.0,19.9,1873,37.2,6
1873-07-01,31.1,15.8,23.45,1873,11.2,7
1873-08-01,31.1,17.9,24.5,1873,1.6,8
1873-09-01,28.8,15.9,22.35,1873,0.0,9
1873-10-01,21.2,11.8,16.5,1873,38.1,10
1873-11-01,18.4,9.5,13.95,1873,64.5,11
1873-12-01,16.6,6.1,11.35,1873,30.0,12
1874-01-01,16.8,7.4,12.1,1874,19.6,1
1874-02-01,15.9,7.6,11.75,1874,59.4,2
1874-03-01,19.6,8.4,14.0,1874,14.6,3
1874-04-01,20.8,10.7,15.75,1874,52.6,4
1874-05-01,23.0,12.0,17.5,1874,52.7,5
1874-06-01,25.3,13.8,19.55,1874,4.2,6
1874-07-01,33.1,16.1,24.6,1874,0.2,7
1874-08-01,33.3,17.1,25.2,1874,0.0,8
1874-09-01,28.3,15.9,22.1,1874,25.8,9
1874-10-01,22.7,13.2,17.95,1874,50.1,10
1874-11-01,19.7,10.3,15.0,1874,12.7,11
1874-12-01,13.7,5.3,9.5,1874,54.1,12
1875-01-01,14.9,7.8,11.35,1875,41.4,1
1875-02-01,15.0,5.8,10.4,1875,89.0,2
1875-03-01,17.2,8.3,12.75,1875,63.0,3
1875-04-01,19.8,10.1,14.95,1875,29.8,4
1875-05-01,25.5,13.7,19.6,1875,30.3,5
1875-06-01,28.0,14.4,21.2,1875,25.3,6
1875-07-01,28.7,15.4,22.05,1875,23.8,7
1875-08-01,32.1,16.7,24.4,1875,0.0,8
1875-09-01,30.2,16.1,23.15,1875,13.7,9
1875-10-01,23.6,12.8,18.2,1875,41.1,10
1875-11-01,20.2,10.3,15.25,1875,25.7,11
1875-12-01,13.7,4.0,8.85,1875,34.8,12
1876-01-01,13.0,3.9,8.45,1876,13.5,1
1876-02-01,15.9,6.9,11.4,1876,43.5,2
1876-03-01,16.5,7.3,11.9,1876,53.5,3
1876-04-01,19.6,8.8,14.2,1876,13.9,4
1876-05-01,21.4,11.1,16.25,1876,52.9,5
1876-06-01,24.9,12.5,18.7,1876,13.1,6
1876-07-01,36.1,19.6,27.85,1876,15.0,7
1876-08-01,33.2,16.9,25.05,1876,0.0,8
