date,tmax,tmin,tmed,year,precip,month
1865-01-01,19.3,13.9,16.6,1865,104.6,1
1865-02-01,20.3,13.4,16.85,1865,95.8,2
1865-03-01,18.0,13.2,15.6,1865,45.0,3
1865-04-01,18.7,14.8,16.75,1865,113.4,4
1865-05-01,19.4,15.6,17.5,1865,37.2,5
1865-06-01,22.0,18.2,20.1,1865,0.0,6
1865-07-01,23.9,20.3,22.1,1865,2.3,7
1865-08-01,24.1,20.4,22.25,1865,4.2,8
1865-09-01,24.6,20.4,22.5,1865,31.3,9
1865-10-01,23.3,19.1,21.2,1865,50.5,10
1865-11-01,21.1,15.5,18.3,1865,128.4,11
1865-12-01,18.9,14.8,16.85,1865,99.7,12
1866-01-01,18.0,13.7,15.85,1866,83.6,1
1866-02-01,17.7,13.5,15.6,1866,127.9,2
1866-03-01,16.7,12.1,14.4,1866,161.7,3
1866-04-01,18.4,14.4,16.4,1866,47.6,4
1866-05-01,19.8,16.1,17.95,1866,46.4,5
1866-06-01,21.8,19.3,20.55,1866,20.7,6
1866-07-01,23.1,19.4,21.25,1866,1.2,7
1866-08-01,25.2,21.1,23.15,1866,0.0,8
1866-09-01,24.9,20.8,22.85,1866,2.3,9
1866-10-01,23.6,19.1,21.35,1866,59.4,10
1866-11-01,21.2,16.4,18.8,1866,216.4,11
1866-12-01,19.2,13.7,16.45,1866,71.4,12
1867-01-01,19.1,14.9,17.0,1867,216.1,1
1867-02-01,20.0,14.7,17.35,1867,10.5,2
1867-03-01,19.6,15.2,17.4,1867,158.7,3
1867-04-01,20.4,15.4,17.9,1867,0.0,4
1867-05-01,20.6,16.2,18.4,1867,22.2,5
1867-06-01,22.0,18.1,20.05,1867,28.9,6
1867-07-01,23.7,19.8,21.75,1867,0.0,7
1867-08-01,24.5,20.1,22.3,1867,0.0,8
1867-09-01,24.3,19.2,21.75,1867,13.4,9
1867-10-01,23.0,17.6,20.3,1867,44.1,10
1867-11-01,20.5,16.2,18.35,1867,358.4,11
1867-12-01,18.5,13.7,16.1,1867,354.4,12
1868-01-01,18.5,13.3,15.9,1868,61.2,1
1868-02-01,18.5,13.4,15.95,1868,3.1,2
1868-03-01,19.8,14.2,17.0,1868,2.1,3
1868-04-01,19.3,14.4,16.85,1868,47.5,4
1868-05-01,21.2,16.7,18.95,1868,2.4,5
1868-06-01,22.6,18.3,20.45,1868,0.0,6
1868-07-01,24.4,19.4,21.9,1868,0.1,7
1868-08-01,25.4,20.4,22.9,1868,7.8,8
1868-09-01,24.9,19.6,22.25,1868,82.8,9
1868-10-01,23.2,16.9,20.05,1868,28.3,10
1868-11-01,20.7,15.9,18.3,1868,52.9,11
1868-12-01,20.4,15.7,18.05,1868,43.8,12
1869-01-01,18.8,13.7,16.25,1869,74.7,1
1869-02-01,18.4,12.8,15.6,1869,23.3,2
1869-03-01,18.6,13.3,15.95,1869,46.5,3
1869-04-01,19.6,14.9,17.25,1869,0.0,4
1869-05-01,21.2,16.2,18.7,1869,23.0,5
1869-06-01,22.1,17.4,19.75,1869,47.7,6
1869-07-01,24.1,19.9,22.0,1869,0.0,7
1869-08-01,24.7,19.6,22.15,1869,0.7,8
1869-09-01,24.8,19.9,22.35,1869,0.2,9
1869-10-01,22.8,17.7,20.25,1869,82.9,10
1869-11-01,20.5,15.1,17.8,1869,79.0,11
1869-12-01,18.6,13.4,16.0,1869,26.8,12
1870-01-01,18.2,13.3,15.75,1870,110.1,1
1870-02-01,17.7,13.0,15.35,1870,176.8,2
1870-03-01,18.0,12.9,15.45,1870,91.3,3
1870-04-01,19.0,14.2,16.6,1870,48.7,4
1870-05-01,20.3,15.5,17.9,1870,9.9,5
1870-06-01,22.7,18.0,20.35,1870,0.0,6
1870-07-01,23.8,19.2,21.5,1870,1.8,7
1870-08-01,24.6,19.6,22.1,1870,2.4,8
1870-09-01,25.1,19.6,22.35,1870,2.3,9
1870-10-01,24.3,18.8,21.55,1870,5.8,10
1870-11-01,21.4,16.3,18.85,1870,205.4,11
1870-12-01,19.6,14.3,16.95,1870,189.6,12
1871-01-01,17.4,11.7,14.55,1871,89.0,1
1871-02-01,17.8,12.7,15.25,1871,224.3,2
1871-03-01,17.5,12.2,14.85,1871,100.5,3
1871-04-01,20.2,14.5,17.35,1871,27.5,4
1871-05-01,20.1,15.3,17.7,1871,54.4,5
1871-06-01,21.7,16.9,19.3,1871,8.8,6
1871-07-01,23.8,19.0,21.4,1871,0.3,7
1871-08-01,24.8,19.8,22.3,1871,0.0,8
1871-09-01,24.4,19.3,21.85,1871,29.6,9
1871-10-01,23.3,17.9,20.6,1871,20.1,10
1871-11-01,21.2,16.0,18.6,1871,67.6,11
