categoria,produtos_agricolas,unidade,Ano,Preco
Plantas Industriais,Cana-de-açúcar,Euro/100 kg,2010,25.0
Vegetais e Produtos Hortícolas,Alface,Euro/100 kg,2010,206.53
Vegetais e Produtos Hortícolas,Couve repolho,Euro/100 kg,2010,65.01
Vegetais e Produtos Hortícolas,Tomate ,Euro/100 kg,2010,114.38
Vegetais e Produtos Hortícolas,Cenoura,Euro/100 kg,2010,117.68
Vegetais e Produtos Hortícolas,Feijão verde,Euro/100 kg,2010,203.57
Vegetais e Produtos Hortícolas,Cebola,Euro/100 kg,2010,122.53
Vegetais e Produtos Hortícolas,Pepino,Euro/100 kg,2010,281.23
Vegetais e Produtos Hortícolas,Pimento,Euro/100 kg,2010,112.29
Vegetais e Produtos Hortícolas,Courgette,Euro/100 kg,2010,103.0
Vegetais e Produtos Hortícolas,Nabo,Euro/100 kg,2010,124.66
Vegetais e Produtos Hortícolas,Abóbora,Euro/100 kg,2010,122.75
Vegetais e Produtos Hortícolas,Acelga,Euro/100 kg,2010,103.46
Vegetais e Produtos Hortícolas,Pimpinela,Euro/100 kg,2010,100.9
Plantas e flores,Rosa,Euro/100 unid.,2010,60.66
Plantas e flores,Cravo,Euro/100 unid.,2010,18.9
Plantas e flores,Gerbera,Euro/100 unid.,2010,42.77
Plantas e flores,Estrelícia,Euro/100 unid.,2010,34.58
Plantas e flores,Antúrio,Euro/100 unid.,2010,64.61
Plantas e flores,Orquídea,Euro/100 unid.,2010,339.39
Plantas e flores,Protea,Euro/100 unid.,2010,120.8
Batata de consumo,Batata primor,Euro/100 kg,2010,85.07
Batata de consumo,Batata de conservação,Euro/100 kg,2010,63.17
Frutos ,Maçãs,Euro/100 kg,2010,58.6
Frutos ,Cerejas,Euro/100 kg,2010,250.0
Frutos ,Tangerinas,Euro/100 kg,2010,128.76
Frutos ,Limões,Euro/100 kg,2010,77.0
Frutos ,Banana,Euro/100 kg,2010,13.86
Frutos ,Abacate,Euro/100 kg,2010,113.83
Frutos ,Anona,Euro/100 kg,2010,159.28
Frutos ,Uvas,Euro/100 kg,2010,112.21
Outros produtos vegetais,Inhame,Euro/100 kg,2010,104.94
