Cultura,Ano,Superfície,Produção
Abacate,2019,50.394,415.36872173722986
Abacate,2020,50.394,461.783316610655
Abacate,2021,50.394,490.10163154606295
Abacate,2022,51.0,498.0
Abacate,2023,51.15312321997875,475.0
Abacate,2024,52.0,463.0
Abóbora,2019,77.0,1548.4079945181659
Abóbora,2020,76.76,1929.477234727507
Abóbora,2021,76.76,1890.887690032957
Abóbora,2022,77.0,1891.0
Abóbora,2023,76.76,2080.0
Abóbora,2024,80.0,2059.0
Alface,2019,49.05,1494.835047
Alface,2020,49.05,1554.62844888
Alface,2021,49.0,1477.25
Alface,2022,47.0,1507.0
Alface,2023,49.0,1808.0
Alface,2024,51.0,2079.0
Ameixa,2019,49.5122,412.88300287310085
Ameixa,2020,49.5122,291.14205562379294
Ameixa,2021,49.5122,248.46588308462074
Ameixa,2022,50.0,252.0
Ameixa,2023,49.5122,259.0
Ameixa,2024,49.0,233.0
Anona,2019,116.79399999999998,1444.2985903808722
Anona,2020,116.79399999999998,1460.7622040500235
Anona,2021,116.79399999999998,584.3048816200094
Anona,2022,120.0,627.0
Anona,2023,119.93915068412035,799.0
Anona,2024,124.0,959.0
Banana,2019,824.0004,22731.825175542
Banana,2020,824.0004,22283.553583080313
Banana,2021,832.240404,21218.622557344905
Banana,2022,874.0,23892.0
Banana,2023,883.0,26471.0
Banana,2024,891.0,25688.0
Batata,2019,897.61,29448.13553476207
Batata,2020,864.3984299999997,25913.845225004938
Batata,2021,841.0837151819956,25944.080761400623
Batata,2022,755.0,21849.0
Batata,2023,560.0,16639.0
Batata,2024,595.0,17353.0
Batata-doce,2019,430.01,9210.627795306445
Batata-doce,2020,430.01,7351.3094735909
Batata-doce,2021,430.0,7641.764303196847
Batata-doce,2022,431.0,7653.0
Batata-doce,2023,434.0,8382.0
Batata-doce,2024,350.0,7703.0
Cana-de-açúcar,2019,173.54,9814.28618655
Cana-de-açúcar,2020,173.54,
Cana-de-açúcar,2021,173.54,9203.0029742
Cana-de-açúcar,2022,174.0,10048.0
Cana-de-açúcar,2023,155.0,8860.0
Cana-de-açúcar,2024,155.0,8920.0
Castanha,2019,108.741,111.19980703552845
Castanha,2020,108.741,105.9405651458353
Castanha,2021,108.741,112.29410021532526
Castanha,2022,109.0,112.0
Castanha,2023,108.741,106.0
Castanha,2024,79.0,69.0
Cebola,2019,136.23,4201.081599843153
Cebola,2020,136.23,4201.081599843153
Cebola,2021,137.5923,4369.124863836879
Cebola,2022,136.0,3932.0
Cebola,2023,135.0,3342.0
Cebola,2024,136.0,3643.0
Cenoura,2019,29.2,1001.5785818181816
Cenoura,2020,29.2,901.4207236363635
Cenoura,2021,29.2,901.4207236363635
Cenoura,2022,29.0,901.0
Cenoura,2023,29.2,631.0
Cenoura,2024,29.0,726.0
Cereja,2019,30.74780000000001,138.32334713024872
