cultura,nome_científico,família,germinacao_Tmin,germinacao_Totima,germincacao_Tmáxima,vegetacao_Tmin,vegetacao_Toptima,vegetacao_Tmax,tolerancia_salinidade,intervalo_otimp_pH,tolerancia_acidez,solo_preferido,sol_fotoperíodo,clima_ideal _°C,necessidade_hidrica,notas_principais,solo_pref_cat,sol_fotoperiodo_cat,necessidade_hidrica_num,tolerancia_acidez_num,tolerancia_salinidade_num,ph_min,ph_max,sol_min,score_agro
Abóbora,Curcubita sp.,Curcubitaceae,7.5,32.5,38.0,10,22.5,32.0,moderada,"6–6,8",moderada,"Franco-arenoso, fértil, bem drenado",Pleno sol (? 6–8h),20–30 °C,moderada,Não tolera geadas; gosta de calor,1.0,3.0,2.0,2.0,2.0,6.0,6.8,6.0,1.0
Banana,"Musa acuminata × Musa balbisiana (AA–AAA, etc.)",Musaceae,,,,15,28.0,35.0,moderada,"5,5–7,5",moderada,"Franco-argiloso, rico em matéria orgânica",Pleno sol (? 8h),26–30 °C,,Sensível ao vento forte,2.0,3.0,,2.0,2.0,5.5,7.5,8.0,1.0
Batata,Solanum tuberosum,Solanaceae,3.5,19.0,,7,20.0,32.5,moderada,"5,5–6",,"Franco-arenoso, solto, bem drenado",6–8h sol,15–20 °C,moderada,Não gosta de solos encharcados,1.0,,2.0,,2.0,5.5,6.0,6.0,1.0
Batata-doce,Ipomoea batatas,Convolvulaceae,15.0,27.5,38.0,15,23.5,35.0,moderada,"5,5–6,5",moderada,"Arenoso a franco-arenoso, solto",Pleno sol (? 6h),21–26 °C,baixa,"Tolerante à seca, mas prefere calor",1.0,3.0,1.0,2.0,2.0,5.5,6.5,6.0,0.75
Cana-de-açúcar,Saccharum officinarum,Poaceae,18.0,30.0,38.0,18,27.5,36.5,,"6–7,5",baixa,"Profundos, férteis, franco-argilosos",Pleno sol (? 8h),20–30 °C (ótimo 25–28 °C),,Cultura de clima tropical/subtropical,2.0,3.0,,1.0,,6.0,7.5,8.0,1.0
Cebola,Allium cepa,Alliaceae,2.45,22.5,40.0,5,18.5,45.0,,6–7,,"Franco-arenoso, fértil, bem drenado",Pleno sol (? 6h),15–25 °C,moderada,Requer fotoperíodo adequado para bulbificação,1.0,3.0,2.0,,,6.0,7.0,6.0,1.0
Couve-repolho,Brassica olereacea L. var. capitata,Brassicaceae,4.5,29.0,38.0,7,14.0,35.0,moderada,"6,5–7,5",,"Franco-argiloso, rico em matéria orgânica",Pleno sol ou meia-sombra,15–20 °C,moderada,Prefere clima fresco,2.0,1.0,2.0,,2.0,6.5,7.5,,0.6666666666666666
Feijão-verde,Phaseolus,Leguminoseae,7.7,27.5,35.0,9,22.5,35.0,,"6–6,5",moderada,"Franco-arenoso, fértil, drenado",Pleno sol (? 6h),18–24 °C,moderada,Sensível a geadas e excesso de calor,1.0,3.0,2.0,2.0,,6.0,6.5,6.0,1.0
Milho p/ maçaroca,Zea mays,Poaceae,10.0,24.0,40.0,10,25.0,35.0,moderada,6–7,moderada,"Profundos, férteis, franco-argilosos",Pleno sol (? 8h),20–27 °C,,Exigente em nutrientes e água,2.0,3.0,,2.0,2.0,6.0,7.0,8.0,1.0
Vinha (Vitis vinifera),Vitis vinifera L.,Vitaceae,10.0,27.5,35.0,10,22.5,35.0,moderada,"6–7,5",moderada,"Pobres, pedregosos, bem drenados",Pleno sol (? 8h),18–25 °C,baixa,Estresse hídrico ligeiro favorece qualidade,,3.0,1.0,2.0,2.0,6.0,7.5,8.0,0.75
